FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q3,4697.991,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q4,4697.963,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2023-Q4,471.111,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q1,531.553,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q2,488.709,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q3,516.597,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q4,678.745,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q1,611.165,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q2,516.937,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q3,671.753,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q4,723.309,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2023-Q4,1875.711,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q1,1789.9,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q2,1808.326,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q3,1747.488,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q4,1699.116,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q1,1566.068,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q2,1526.894,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q3,1507.161,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q4,1507.865,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2023-Q4,1774.423,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q1,1853.312,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q2,1821.685,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q3,1853.598,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q4,1709.187,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q1,1531.344,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q2,1523.49,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q3,1674.61,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q4,1599.556,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2023-Q4,12138.139,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q1,12326.673,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q2,12343.834,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q3,12533.727,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q4,12524.697,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q1,12231.75,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q2,12194.028,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q3,12498.267,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),9,Totale,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q4,12573.82,,
