FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q2,2266.139,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q3,2307.699,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q4,2313.624,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2023-Q4,241.111,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q1,275.921,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q2,254.463,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q3,257.953,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q4,343.337,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q1,308.04,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q2,262.714,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q3,356.406,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q4,424.76,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2023-Q4,746.111,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q1,735.396,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q2,730.694,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q3,725.224,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q4,706.435,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q1,646.083,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),1,Maschi,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q2,665.14,,
