FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,INACTIVITY_REASON,Motivo inattività,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q2,2406.741,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q3,2390.292,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,TRAIN,'Studio, formazione professionale',2025-Q4,2384.339,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2023-Q4,230,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q1,255.632,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q2,234.246,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q3,258.644,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2024-Q4,335.408,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q1,303.124,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q2,254.223,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q3,315.347,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,SEEK,Aspetta esiti passate azioni di ricerca,2025-Q4,298.549,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2023-Q4,1129.6,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q1,1054.504,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q2,1077.632,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q3,1022.265,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2024-Q4,992.681,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q1,919.986,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q2,861.754,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q3,872.07,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,RET,'Pensione, non interessa anche per motivi di età',2025-Q4,868.83,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2023-Q4,909.273,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q1,933.925,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q2,926.084,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q3,933.972,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2024-Q4,805.168,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q1,713.447,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q2,714.472,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q3,811.134,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,OTH_REAS,Altri motivi,2025-Q4,769.259,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2023-Q4,7680.057,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q1,7802.122,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q2,7808.961,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q3,7977.974,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2024-Q4,7955.701,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q1,7747.881,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q2,7734.348,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q3,7909.663,,
Q,Trimestrale,IT,Italia,INAC,Inattivi (migliaia),2,Femmine,Y15-64,15-64 anni,ALL,Tutte le voci,2025-Q4,7904.368,,
